Pair,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P1-P2-Post1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0
P1-P2-Post2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,11,0
P9-P10-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
P9-P10-Post2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,0
P11-P12-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11-P12-Post2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P15-P16-Post1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P15-P16-Post2,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0
P17-P18-Post1,0,0,0,0,171,0,171,171,0,7,0,0,0,0,171,0
P17-P18-Post2,0,0,0,0,131,0,169,169,0,1,0,0,0,0,121,0
P19-P20-Post1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
P19-P20-Post2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
P21-P22-Post1,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0
P21-P22-Post2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
